name,country,howstatid,iccid,role,rank,icc_role,rating,format
Sam Curran,ENG,4787,2939,bowler,-1,-1,-1
Liam Dawson,ENG,4566,-1,allrounder,-1,-1,-1
Sam Hain,ENG,7484,,batsman,-1,-1,-1
Tom Hartley,ENG,7485,-1,bowler,-1,-1,-1
Chris Jordan,ENG,4238,,bowler,-1,-1,-1
Saqib Mahmood,ENG,5658,-1,bowler,-1,-1,-1
Dawid Malan,ENG,4694,3318,batsman,-1,-1,-1
Adil Rashid,ENG,3696,796,bowler,-1,-1,-1
Jason Roy,ENG,4325,1906,batsman,-1,-1,-1
Phil Salt,ENG,6038,,batsman,-1,-1,-1
George Scrimshaw,ENG,7482,,bowler,-1,-1,-1
Jamie Smith,ENG,7483,,batsman,-1,-1,-1
Olly Stone,ENG,4819,,Bowler,-1,-1,-1
Reece Topley,ENG,4479,2839,bowler,-1,-1,-1
James Vince,ENG,4419,-1,batsman,-1,-1,-1
David Willey,ENG,4420,2758,allrounder,-1,-1,-1
Luke Wood,ENG,6921,-1,bowler,-1,-1,-1
Alex Hales,ENG,3887,511,batsman,-1,-1,-1
Mark Adair,IRE,5089,,allrounder,-1,-1,-1
Andy Balbirnie,IRE,3809,,batsman,-1,-1,-1
Curtis Campher,IRE,5844,,allrounder,-1,-1,-1
Murray Commins,IRE,7122,,batsman,-1,-1,-1
George Dockrell,IRE,3752,,allrounder,-1,-1,-1
Fionn Hand,IRE,6850,,allrounder,-1,-1,-1
Graham Hume,IRE,6783,,bowler,-1,-1,-1
Matthew Humphreys,IRE,7189,,Bowler,-1,-1,-1
Andy McBrine,IRE,4294,,allrounder,-1,-1,-1
James McCollum,IRE,4926,,batsman,-1,-1,-1
Peter Moor,IRE,4359,,batsman,-1,-1,-1
Paul Stirling,IRE,3586,,allrounder,-1,-1,-1
Harry Tector,IRE,5476,,batsman,-1,-1,-1
Lorcan Tucker,IRE,4586,,batsman,-1,-1,-1
Ben White,IRE,6049,,Bowler,-1,-1,-1
Gareth Delany,IRE,5298,,allrounder,-1,-1,-1
Stephen Doheny,IRE,7120,,batsman,-1,-1,-1
Josh Little,IRE,4584,,Bowler,-1,-1,-1
Barry McCarthy,IRE,4563,,Bowler,-1,-1,-1
Theo van Woerkom,IRE,7487,,allrounder,-1,-1,-1
Craig Young,IRE,4328,,Bowler,-1,-1,-1
Ross Adair,IRE,7119,,batsman,-1,-1,-1
Tyrone Kane,IRE,4433,,Allrounder,-1,-1,-1
