name,country,howstatid,iccid,role
Gary Ballance,ZIM,4234,,batsman
Chamu Chibhabha,ZIM,3320,,batsman
Tanaka Chivanga,ZIM,6615,,Bowler
Craig Ervine,ZIM,3780,,batsman
Brad Evans,ZIM,6617,,Allrounder
Innocent Kaia,ZIM,6198,,batsman
Tanunurwa Makoni,ZIM,7124,,batsman
Wellington Masakadza,ZIM,4482,,Bowler
Brandon Mavuta,ZIM,4800,,Allrounder
Richard Ngarava,ZIM,4646,,Bowler
Victor Nyauchi,ZIM,5768,,Bowler
Milton Shumba,ZIM,5922,,batsman
Donald Tiripano,ZIM,4314,,Bowler
Tafadzwa Tsiga,ZIM,7125,,batsman
Ryan Burl,ZIM,4645,,batsman
Tendai Chatara,ZIM,3792,,Bowler
Joylord Gumbie,ZIM,7323,,batsman
Luke Jongwe,ZIM,4319,,Allrounder
Clive Madande,ZIM,6654,,batsman
Wessly Madhevere,ZIM,5830,,Allrounder
Tadiwanashe Marumani,ZIM,5992,,batsman
Blessing Muzarabani,ZIM,4719,,Bowler
Sikandar Raza,ZIM,4022,,Allrounder
Sean Williams,ZIM,3270,,batsman
Regis Chakabva,ZIM,3622,,batsman
Faraz Akram,ZIM,5923,,Allrounder
Tinashe Kamunhukamwe,ZIM,4804,,batsman
Nyasha Mayavo,ZIM,7613,,batsman
Carl Mumba,ZIM,4600,,Allrounder
Tony Munyonga,ZIM,5473,,Allrounder
Ainsley Ndlovu,ZIM,5249,,BOWLER
Nick Welch,ZIM,7611,,batsman
