name,country,howstatid,iccid,role
Kirk McKenzie,WI,,,
Marquino Mindley,WI,,,
Gudakesh Motie,WI,,,
Anderson Phillip,WI,,,
Raymon Reifer,WI,,,
Kemar Roach,WI,,,
Jayden Seales,WI,,,
Devon Thomas,WI,,,
Jomel Warrican,WI,,,
Akeem Jordan,WI,,,
Yannic Cariah,WI,,,
Keacy Carty,WI,,,
Johnson Charles,WI,,,
Dominic Drakes,WI,,,
Shimron Hetmyer,WI,,,
Kavem Hodge,WI,,,
Shai Hope,WI,,,
Akeal Hosein,WI,,,
Brandon King,WI,,,
Keemo Paul,WI,,,
Nicholas Pooran,WI,,,
Rovman Powell,WI,,,
Romario Shepherd,WI,,,
Kevin Sinclair,WI,,,
Odean Smith,WI,,,
Sheldon Cottrell,WI,,,
Obed McCoy,WI,,,
Gary Ballance,ZIM,,,
Chamu Chibhabha,ZIM,,,
Tanaka Chivanga,ZIM,,,
Craig Ervine,ZIM,,,
Brad Evans,ZIM,,,
Innocent Kaia,ZIM,,,
Tanunurwa Makoni,ZIM,,,
Wellington Masakadza,ZIM,,,
Brandon Mavuta,ZIM,,,
Richard Ngarava,ZIM,,,
Victor Nyauchi,ZIM,,,
Milton Shumba,ZIM,,,
Donald Tiripano,ZIM,,,
Tafadzwa Tsiga,ZIM,,,
Ryan Burl,ZIM,,,
Tendai Chatara,ZIM,,,
Joylord Gumbie,ZIM,,,
Luke Jongwe,ZIM,,,
Clive Madande,ZIM,,,
Wessly Madhevere,ZIM,,,
Tadiwanashe Marumani,ZIM,,,
Blessing Muzarabani,ZIM,,,
Sikandar Raza,ZIM,,,
Sean Williams,ZIM,,,
Regis Chakabva,ZIM,,,
Faraz Akram,ZIM,,,
Tinashe Kamunhukamwe,ZIM,,,
Nyasha Mayavo,ZIM,,,
Carl Mumba,ZIM,,,
Tony Munyonga,ZIM,,,
Ainsley Ndlovu,ZIM,,,
Nick Welch,ZIM,,,
